point_A,point_B,heure_depart,jour_semaine,meteo,moyen_transport,distance_km,indice_trafic,duree_min,prob_accident
Etoile,Akpakpa,13,Semaine,Forte Pluie,Zem,2.12,1.23,8.9,0.16
Akpakpa,Zongo,23,Weekend,Ensoleillé,Voiture,3.38,1.0,4.5,0.01
Etoile,Akpakpa,2,Semaine,Pluie Légère,Zem,2.12,1.29,5.8,0.04
Zongo,Etoile,11,Weekend,Ensoleillé,Zem,1.45,1.0,2.5,0.04
Zongo,Etoile,15,Weekend,Pluie Légère,Voiture,1.45,1.0,2.4,0.01
Akpakpa,Calavi,22,Semaine,Ensoleillé,Zem,14.46,1.52,37.7,0.04
Fidjrosse,Cadjehoun,16,Weekend,Ensoleillé,Zem,3.92,1.0,6.7,0.04
Akpakpa,Cadjehoun,22,Semaine,Ensoleillé,Voiture,6.19,1.41,11.6,0.01
Cadjehoun,Calavi,9,Semaine,Pluie Légère,Voiture,11.27,3.55,66.7,0.01
Calavi,Etoile,22,Semaine,Pluie Légère,Zem,12.72,1.21,32.9,0.04
Cadjehoun,Akpakpa,9,Weekend,Ensoleillé,Voiture,6.19,1.0,8.2,0.01
Fidjrosse,Calavi,20,Semaine,Ensoleillé,Voiture,9.53,1.46,18.5,0.01
Cadjehoun,Akpakpa,1,Semaine,Ensoleillé,Voiture,6.19,1.21,10.0,0.01
Calavi,Cadjehoun,8,Semaine,Ensoleillé,Zem,11.27,3.98,76.8,0.04
Cadjehoun,Zongo,21,Semaine,Ensoleillé,Zem,2.81,1.38,6.6,0.04
Fidjrosse,Akpakpa,12,Semaine,Ensoleillé,Zem,10.0,1.45,24.8,0.04
Cadjehoun,Etoile,15,Semaine,Ensoleillé,Zem,4.18,1.16,8.3,0.04
Cadjehoun,Fidjrosse,17,Weekend,Forte Pluie,Zem,3.92,1.0,13.5,0.16
Cadjehoun,Fidjrosse,18,Weekend,Ensoleillé,Voiture,3.92,1.0,5.2,0.01
Akpakpa,Calavi,11,Semaine,Ensoleillé,Zem,14.46,1.23,30.4,0.04
Akpakpa,Fidjrosse,7,Weekend,Pluie Légère,Bus,10.0,1.0,25.0,0.005
Akpakpa,Zongo,16,Semaine,Pluie Légère,Voiture,3.38,1.17,6.6,0.01
Fidjrosse,Cadjehoun,14,Semaine,Ensoleillé,Zem,3.92,1.3,8.7,0.04
Calavi,Etoile,9,Semaine,Pluie Légère,Zem,12.72,2.71,73.9,0.04
Cadjehoun,Etoile,14,Semaine,Ensoleillé,Voiture,4.18,1.47,8.2,0.01
Cadjehoun,Etoile,22,Weekend,Ensoleillé,Zem,4.18,1.0,7.2,0.04
Fidjrosse,Cadjehoun,6,Semaine,Ensoleillé,Zem,3.92,1.15,7.8,0.04
Cadjehoun,Calavi,12,Weekend,Ensoleillé,Voiture,11.27,1.0,15.0,0.01
Akpakpa,Fidjrosse,16,Semaine,Ensoleillé,Zem,10.0,1.48,25.3,0.04
Zongo,Cadjehoun,8,Weekend,Pluie Légère,Voiture,2.81,1.0,4.7,0.01
Etoile,Zongo,7,Semaine,Ensoleillé,Voiture,1.45,2.28,4.4,0.01
Cadjehoun,Calavi,19,Semaine,Ensoleillé,Zem,11.27,2.56,49.5,0.04
Akpakpa,Zongo,20,Semaine,Ensoleillé,Zem,3.38,1.5,8.7,0.04
Etoile,Calavi,17,Semaine,Ensoleillé,Zem,12.72,3.54,77.1,0.04
Etoile,Cadjehoun,15,Weekend,Ensoleillé,Zem,4.18,1.0,7.2,0.04
Akpakpa,Calavi,8,Semaine,Forte Pluie,Zem,14.46,3.06,151.6,0.16
Calavi,Etoile,11,Semaine,Ensoleillé,Zem,12.72,1.12,24.5,0.04
Fidjrosse,Akpakpa,18,Semaine,Ensoleillé,Voiture,10.0,3.3,44.0,0.01
Etoile,Zongo,6,Semaine,Ensoleillé,Zem,1.45,1.3,3.2,0.04
Cadjehoun,Etoile,2,Weekend,Pluie Légère,Bus,4.18,1.0,10.4,0.005
Cadjehoun,Akpakpa,15,Semaine,Ensoleillé,Voiture,6.19,1.26,10.4,0.01
Calavi,Etoile,17,Semaine,Pluie Légère,Zem,12.72,3.35,91.4,0.04
Fidjrosse,Zongo,15,Semaine,Forte Pluie,Zem,6.66,1.32,30.1,0.16
Akpakpa,Calavi,22,Semaine,Ensoleillé,Zem,14.46,1.15,28.4,0.04
Cadjehoun,Fidjrosse,6,Semaine,Ensoleillé,Voiture,3.92,1.56,8.2,0.01
Calavi,Zongo,3,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Zongo,Cadjehoun,7,Semaine,Ensoleillé,Bus,2.81,3.6,20.2,0.005
Calavi,Etoile,12,Semaine,Pluie Légère,Voiture,12.72,1.13,23.9,0.01
Cadjehoun,Etoile,12,Semaine,Pluie Légère,Zem,4.18,1.36,12.2,0.04
Cadjehoun,Calavi,16,Semaine,Ensoleillé,Voiture,11.27,1.14,17.2,0.01
Calavi,Cadjehoun,16,Semaine,Ensoleillé,Zem,11.27,1.52,29.3,0.04
Akpakpa,Calavi,4,Weekend,Ensoleillé,Voiture,14.46,1.0,19.3,0.01
Etoile,Cadjehoun,5,Semaine,Ensoleillé,Voiture,4.18,1.41,7.8,0.01
Cadjehoun,Fidjrosse,18,Weekend,Pluie Légère,Zem,3.92,1.0,8.4,0.04
Calavi,Etoile,12,Semaine,Ensoleillé,Zem,12.72,1.19,25.9,0.04
Calavi,Etoile,13,Semaine,Pluie Légère,Voiture,12.72,1.11,23.5,0.01
Etoile,Akpakpa,3,Semaine,Pluie Légère,Bus,2.12,1.12,5.9,0.005
Zongo,Calavi,6,Semaine,Ensoleillé,Zem,12.45,1.35,28.9,0.04
Akpakpa,Fidjrosse,7,Semaine,Pluie Légère,Zem,10.0,3.52,75.5,0.04
Zongo,Calavi,12,Weekend,Pluie Légère,Zem,12.45,1.0,26.7,0.04
Etoile,Zongo,5,Semaine,Pluie Légère,Voiture,1.45,1.16,2.8,0.01
Etoile,Calavi,23,Semaine,Ensoleillé,Zem,12.72,1.21,26.4,0.04
Zongo,Cadjehoun,20,Weekend,Pluie Légère,Voiture,2.81,1.0,4.7,0.01
Etoile,Calavi,2,Weekend,Ensoleillé,Voiture,12.72,1.0,17.0,0.01
Calavi,Zongo,2,Semaine,Ensoleillé,Zem,12.45,1.26,27.0,0.04
Zongo,Etoile,12,Weekend,Forte Pluie,Zem,1.45,1.0,5.0,0.16
Etoile,Fidjrosse,21,Semaine,Ensoleillé,Voiture,7.91,1.21,12.7,0.01
Calavi,Zongo,1,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Fidjrosse,Etoile,15,Semaine,Ensoleillé,Zem,7.91,1.3,17.6,0.04
Etoile,Calavi,21,Semaine,Pluie Légère,Zem,12.72,1.38,37.6,0.04
Zongo,Akpakpa,5,Weekend,Ensoleillé,Voiture,3.38,1.0,4.5,0.01
Cadjehoun,Akpakpa,7,Semaine,Pluie Légère,Voiture,6.19,3.43,35.4,0.01
Etoile,Cadjehoun,22,Semaine,Ensoleillé,Zem,4.18,1.58,11.3,0.04
Cadjehoun,Etoile,7,Weekend,Ensoleillé,Zem,4.18,1.0,7.2,0.04
Calavi,Akpakpa,5,Semaine,Pluie Légère,Voiture,14.46,1.57,37.7,0.01
Akpakpa,Etoile,2,Semaine,Forte Pluie,Voiture,2.12,1.39,7.8,0.02
Etoile,Fidjrosse,2,Weekend,Ensoleillé,Voiture,7.91,1.0,10.5,0.01
Cadjehoun,Akpakpa,11,Semaine,Ensoleillé,Voiture,6.19,1.47,12.1,0.01
Cadjehoun,Etoile,16,Semaine,Ensoleillé,Zem,4.18,1.58,11.3,0.04
Zongo,Calavi,4,Semaine,Forte Pluie,Zem,12.45,1.14,48.7,0.16
Cadjehoun,Zongo,19,Weekend,Pluie Légère,Zem,2.81,1.0,6.0,0.04
Zongo,Akpakpa,8,Semaine,Ensoleillé,Voiture,3.38,2.21,9.9,0.01
Calavi,Akpakpa,20,Semaine,Ensoleillé,Bus,14.46,1.11,32.2,0.005
Akpakpa,Calavi,19,Weekend,Pluie Légère,Voiture,14.46,1.0,24.1,0.01
Zongo,Etoile,21,Semaine,Ensoleillé,Zem,1.45,1.38,3.4,0.04
Akpakpa,Fidjrosse,3,Semaine,Forte Pluie,Zem,10.0,1.48,50.8,0.16
Cadjehoun,Calavi,12,Semaine,Forte Pluie,Zem,11.27,1.28,49.6,0.16
Cadjehoun,Calavi,12,Semaine,Forte Pluie,Voiture,11.27,1.37,41.3,0.02
Akpakpa,Etoile,9,Semaine,Pluie Légère,Bus,2.12,3.13,16.6,0.005
Cadjehoun,Fidjrosse,17,Weekend,Pluie Légère,Zem,3.92,1.0,8.4,0.04
Calavi,Akpakpa,16,Semaine,Ensoleillé,Zem,14.46,1.15,28.4,0.04
Calavi,Cadjehoun,19,Weekend,Ensoleillé,Voiture,11.27,1.0,15.0,0.01
Akpakpa,Zongo,19,Semaine,Ensoleillé,Zem,3.38,2.78,16.1,0.04
Zongo,Akpakpa,12,Weekend,Pluie Légère,Voiture,3.38,1.0,5.6,0.01
Zongo,Etoile,16,Weekend,Pluie Légère,Zem,1.45,1.0,3.1,0.04
Akpakpa,Zongo,21,Semaine,Pluie Légère,Zem,3.38,1.11,8.0,0.04
Zongo,Cadjehoun,3,Semaine,Forte Pluie,Zem,2.81,1.16,11.1,0.16
Zongo,Cadjehoun,0,Semaine,Pluie Légère,Zem,2.81,1.51,9.1,0.04
Calavi,Fidjrosse,0,Weekend,Forte Pluie,Voiture,9.53,1.0,25.4,0.02
Etoile,Akpakpa,16,Semaine,Ensoleillé,Zem,2.12,1.51,5.5,0.04
Cadjehoun,Calavi,23,Semaine,Ensoleillé,Zem,11.27,1.5,29.0,0.04
Fidjrosse,Calavi,7,Weekend,Forte Pluie,Zem,9.53,1.0,32.7,0.16
Zongo,Calavi,17,Semaine,Pluie Légère,Voiture,12.45,3.51,72.8,0.01
Calavi,Zongo,12,Semaine,Ensoleillé,Voiture,12.45,1.5,24.8,0.01
Akpakpa,Calavi,22,Semaine,Ensoleillé,Bus,14.46,1.44,41.5,0.005
Zongo,Akpakpa,13,Semaine,Pluie Légère,Zem,3.38,1.43,10.4,0.04
Calavi,Fidjrosse,7,Weekend,Pluie Légère,Zem,9.53,1.0,20.4,0.04
Etoile,Zongo,7,Semaine,Forte Pluie,Zem,1.45,3.4,16.9,0.16
Zongo,Fidjrosse,14,Semaine,Ensoleillé,Zem,6.66,1.36,15.5,0.04
Akpakpa,Zongo,12,Semaine,Ensoleillé,Voiture,3.38,1.28,5.8,0.01
Calavi,Fidjrosse,6,Semaine,Ensoleillé,Voiture,9.53,1.47,18.6,0.01
Calavi,Cadjehoun,4,Semaine,Ensoleillé,Voiture,11.27,1.25,18.8,0.01
Calavi,Fidjrosse,16,Weekend,Ensoleillé,Zem,9.53,1.0,16.3,0.04
Etoile,Calavi,15,Weekend,Forte Pluie,Zem,12.72,1.0,43.6,0.16
Zongo,Cadjehoun,22,Semaine,Ensoleillé,Bus,2.81,1.37,7.7,0.005
Etoile,Fidjrosse,1,Semaine,Ensoleillé,Zem,7.91,1.32,17.9,0.04
Cadjehoun,Zongo,21,Weekend,Ensoleillé,Zem,2.81,1.0,4.8,0.04
Cadjehoun,Zongo,17,Semaine,Ensoleillé,Bus,2.81,2.7,15.2,0.005
Calavi,Zongo,17,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Calavi,Cadjehoun,13,Weekend,Ensoleillé,Zem,11.27,1.0,19.3,0.04
Cadjehoun,Etoile,12,Semaine,Ensoleillé,Zem,4.18,1.59,11.4,0.04
Cadjehoun,Calavi,10,Semaine,Pluie Légère,Voiture,11.27,1.23,23.1,0.01
Calavi,Cadjehoun,20,Semaine,Ensoleillé,Voiture,11.27,1.25,18.9,0.01
Zongo,Etoile,20,Semaine,Pluie Légère,Voiture,1.45,1.18,2.8,0.01
Etoile,Calavi,15,Semaine,Ensoleillé,Zem,12.72,1.51,33.0,0.04
Etoile,Fidjrosse,16,Semaine,Forte Pluie,Voiture,7.91,1.39,29.4,0.02
Cadjehoun,Akpakpa,7,Semaine,Pluie Légère,Voiture,6.19,3.3,34.1,0.01
Cadjehoun,Akpakpa,18,Semaine,Ensoleillé,Voiture,6.19,3.68,30.3,0.01
Fidjrosse,Etoile,19,Semaine,Forte Pluie,Zem,7.91,2.82,76.4,0.16
Cadjehoun,Calavi,14,Semaine,Pluie Légère,Voiture,11.27,1.2,22.5,0.01
Zongo,Calavi,19,Semaine,Ensoleillé,Zem,12.45,2.56,54.6,0.04
Zongo,Calavi,9,Semaine,Pluie Légère,Voiture,12.45,3.52,73.0,0.01
Cadjehoun,Etoile,20,Semaine,Ensoleillé,Zem,4.18,1.41,10.1,0.04
Akpakpa,Etoile,22,Semaine,Ensoleillé,Zem,2.12,1.2,4.4,0.04
Etoile,Akpakpa,19,Semaine,Forte Pluie,Voiture,2.12,2.46,13.9,0.02
Fidjrosse,Etoile,0,Semaine,Ensoleillé,Zem,7.91,1.16,15.7,0.04
Etoile,Akpakpa,19,Weekend,Ensoleillé,Voiture,2.12,1.0,2.8,0.01
Cadjehoun,Zongo,21,Semaine,Pluie Légère,Voiture,2.81,1.41,6.6,0.01
Fidjrosse,Calavi,14,Semaine,Ensoleillé,Voiture,9.53,1.1,14.0,0.01
Akpakpa,Cadjehoun,11,Semaine,Ensoleillé,Zem,6.19,1.11,11.8,0.04
Akpakpa,Calavi,2,Semaine,Pluie Légère,Voiture,14.46,1.29,31.2,0.01
Zongo,Calavi,10,Semaine,Pluie Légère,Zem,12.45,1.45,38.6,0.04
Fidjrosse,Etoile,1,Semaine,Ensoleillé,Voiture,7.91,1.45,15.3,0.01
Zongo,Etoile,8,Semaine,Ensoleillé,Zem,1.45,2.97,7.4,0.04
Etoile,Calavi,14,Semaine,Ensoleillé,Zem,12.72,1.45,31.5,0.04
Fidjrosse,Cadjehoun,11,Weekend,Pluie Légère,Voiture,3.92,1.0,6.5,0.01
Akpakpa,Calavi,0,Semaine,Ensoleillé,Voiture,14.46,1.36,26.2,0.01
Akpakpa,Cadjehoun,12,Semaine,Pluie Légère,Zem,6.19,1.59,21.1,0.04
Cadjehoun,Akpakpa,13,Semaine,Ensoleillé,Bus,6.19,1.18,14.6,0.005
Fidjrosse,Zongo,7,Semaine,Ensoleillé,Voiture,6.66,3.28,29.1,0.01
Etoile,Calavi,7,Weekend,Ensoleillé,Bus,12.72,1.0,25.4,0.005
Zongo,Etoile,11,Semaine,Ensoleillé,Zem,1.45,1.35,3.3,0.04
Zongo,Akpakpa,0,Weekend,Ensoleillé,Zem,3.38,1.0,5.8,0.04
Etoile,Zongo,10,Semaine,Pluie Légère,Voiture,1.45,1.2,2.9,0.01
Calavi,Etoile,7,Weekend,Ensoleillé,Voiture,12.72,1.0,17.0,0.01
Cadjehoun,Fidjrosse,9,Semaine,Ensoleillé,Zem,3.92,3.55,23.9,0.04
Zongo,Etoile,18,Weekend,Pluie Légère,Voiture,1.45,1.0,2.4,0.01
Fidjrosse,Cadjehoun,10,Semaine,Pluie Légère,Voiture,3.92,1.24,8.1,0.01
Cadjehoun,Zongo,0,Weekend,Pluie Légère,Zem,2.81,1.0,6.0,0.04
Zongo,Etoile,20,Semaine,Pluie Légère,Zem,1.45,1.29,4.0,0.04
Cadjehoun,Akpakpa,7,Semaine,Pluie Légère,Zem,6.19,2.87,38.1,0.04
Cadjehoun,Fidjrosse,22,Semaine,Ensoleillé,Zem,3.92,1.22,8.2,0.04
Akpakpa,Etoile,17,Weekend,Ensoleillé,Voiture,2.12,1.0,2.8,0.01
Etoile,Zongo,5,Semaine,Forte Pluie,Zem,1.45,1.32,6.5,0.16
Zongo,Cadjehoun,12,Weekend,Ensoleillé,Zem,2.81,1.0,4.8,0.04
Cadjehoun,Etoile,18,Semaine,Pluie Légère,Zem,4.18,3.05,27.3,0.04
Zongo,Calavi,21,Semaine,Pluie Légère,Voiture,12.45,1.47,30.5,0.01
Fidjrosse,Akpakpa,7,Semaine,Ensoleillé,Voiture,10.0,3.58,47.7,0.01
Etoile,Cadjehoun,16,Semaine,Pluie Légère,Zem,4.18,1.18,10.6,0.04
Akpakpa,Zongo,2,Weekend,Ensoleillé,Zem,3.38,1.0,5.8,0.04
Zongo,Cadjehoun,18,Semaine,Ensoleillé,Voiture,2.81,3.27,12.2,0.01
Akpakpa,Fidjrosse,23,Weekend,Forte Pluie,Zem,10.0,1.0,34.3,0.16
Etoile,Cadjehoun,16,Weekend,Pluie Légère,Voiture,4.18,1.0,7.0,0.01
Cadjehoun,Zongo,20,Semaine,Pluie Légère,Zem,2.81,1.55,9.3,0.04
Zongo,Akpakpa,18,Semaine,Ensoleillé,Zem,3.38,2.4,13.9,0.04
Akpakpa,Fidjrosse,1,Semaine,Ensoleillé,Voiture,10.0,1.34,17.8,0.01
Fidjrosse,Zongo,6,Semaine,Pluie Légère,Zem,6.66,1.48,21.1,0.04
Cadjehoun,Akpakpa,5,Semaine,Ensoleillé,Zem,6.19,1.41,14.9,0.04
Akpakpa,Zongo,18,Weekend,Ensoleillé,Bus,3.38,1.0,6.8,0.005
Calavi,Akpakpa,23,Semaine,Forte Pluie,Voiture,14.46,1.15,44.3,0.02
Zongo,Akpakpa,5,Semaine,Ensoleillé,Bus,3.38,1.3,8.8,0.005
Etoile,Cadjehoun,1,Weekend,Ensoleillé,Voiture,4.18,1.0,5.6,0.01
Akpakpa,Zongo,5,Semaine,Ensoleillé,Voiture,3.38,1.35,6.1,0.01
Zongo,Etoile,22,Semaine,Pluie Légère,Zem,1.45,1.6,5.0,0.04
Akpakpa,Cadjehoun,4,Semaine,Ensoleillé,Zem,6.19,1.19,12.6,0.04
Fidjrosse,Akpakpa,18,Semaine,Ensoleillé,Zem,10.0,3.97,68.0,0.04
Akpakpa,Calavi,19,Semaine,Ensoleillé,Zem,14.46,2.88,71.3,0.04
Calavi,Akpakpa,3,Semaine,Pluie Légère,Zem,14.46,1.2,37.2,0.04
Akpakpa,Zongo,16,Weekend,Ensoleillé,Zem,3.38,1.0,5.8,0.04
Calavi,Zongo,10,Semaine,Ensoleillé,Zem,12.45,1.31,27.9,0.04
Etoile,Cadjehoun,3,Semaine,Ensoleillé,Zem,4.18,1.41,10.1,0.04
Akpakpa,Etoile,12,Semaine,Pluie Légère,Voiture,2.12,1.21,4.3,0.01
Calavi,Cadjehoun,19,Weekend,Ensoleillé,Voiture,11.27,1.0,15.0,0.01
Zongo,Fidjrosse,16,Weekend,Forte Pluie,Zem,6.66,1.0,22.8,0.16
Fidjrosse,Akpakpa,8,Semaine,Forte Pluie,Zem,10.0,2.72,93.4,0.16
Fidjrosse,Calavi,3,Semaine,Ensoleillé,Zem,9.53,1.53,24.9,0.04
Etoile,Akpakpa,13,Semaine,Pluie Légère,Zem,2.12,1.6,7.3,0.04
Etoile,Cadjehoun,18,Semaine,Pluie Légère,Voiture,4.18,2.77,19.3,0.01
Zongo,Calavi,2,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Akpakpa,Calavi,13,Weekend,Ensoleillé,Zem,14.46,1.0,24.8,0.04
Fidjrosse,Calavi,7,Semaine,Ensoleillé,Zem,9.53,2.47,40.3,0.04
Etoile,Cadjehoun,23,Weekend,Pluie Légère,Zem,4.18,1.0,9.0,0.04
Etoile,Cadjehoun,9,Semaine,Ensoleillé,Zem,4.18,3.63,26.0,0.04
Calavi,Zongo,17,Semaine,Ensoleillé,Voiture,12.45,3.28,54.5,0.01
Etoile,Zongo,15,Weekend,Ensoleillé,Voiture,1.45,1.0,1.9,0.01
Fidjrosse,Cadjehoun,7,Semaine,Ensoleillé,Voiture,3.92,2.38,12.5,0.01
Cadjehoun,Calavi,0,Weekend,Ensoleillé,Zem,11.27,1.0,19.3,0.04
Zongo,Akpakpa,11,Weekend,Ensoleillé,Zem,3.38,1.0,5.8,0.04
Zongo,Cadjehoun,7,Semaine,Forte Pluie,Zem,2.81,3.9,37.6,0.16
Fidjrosse,Cadjehoun,23,Weekend,Ensoleillé,Zem,3.92,1.0,6.7,0.04
Etoile,Cadjehoun,15,Weekend,Pluie Légère,Voiture,4.18,1.0,7.0,0.01
Akpakpa,Fidjrosse,17,Semaine,Ensoleillé,Zem,10.0,2.34,40.1,0.04
Etoile,Zongo,3,Semaine,Ensoleillé,Voiture,1.45,1.41,2.7,0.01
Fidjrosse,Calavi,5,Semaine,Pluie Légère,Zem,9.53,1.31,26.8,0.04
Zongo,Etoile,11,Semaine,Pluie Légère,Bus,1.45,1.38,5.0,0.005
Etoile,Calavi,8,Semaine,Ensoleillé,Zem,12.72,2.58,56.3,0.04
Zongo,Etoile,14,Semaine,Forte Pluie,Zem,1.45,1.44,7.2,0.16
Akpakpa,Fidjrosse,15,Semaine,Forte Pluie,Bus,10.0,1.58,63.2,0.01
Zongo,Cadjehoun,23,Semaine,Forte Pluie,Zem,2.81,1.33,12.8,0.16
Zongo,Fidjrosse,11,Weekend,Ensoleillé,Bus,6.66,1.0,13.3,0.005
Cadjehoun,Fidjrosse,23,Weekend,Ensoleillé,Zem,3.92,1.0,6.7,0.04
Cadjehoun,Akpakpa,22,Weekend,Pluie Légère,Zem,6.19,1.0,13.3,0.04
Calavi,Zongo,13,Semaine,Pluie Légère,Voiture,12.45,1.36,28.3,0.01
Cadjehoun,Etoile,12,Weekend,Ensoleillé,Voiture,4.18,1.0,5.6,0.01
Zongo,Cadjehoun,1,Weekend,Pluie Légère,Zem,2.81,1.0,6.0,0.04
Fidjrosse,Etoile,2,Semaine,Ensoleillé,Bus,7.91,1.22,19.3,0.005
Zongo,Calavi,23,Semaine,Ensoleillé,Voiture,12.45,1.55,25.7,0.01
Fidjrosse,Etoile,21,Semaine,Ensoleillé,Voiture,7.91,1.59,16.7,0.01
Fidjrosse,Calavi,9,Weekend,Pluie Légère,Zem,9.53,1.0,20.4,0.04
Cadjehoun,Zongo,8,Semaine,Ensoleillé,Zem,2.81,3.62,17.4,0.04
Etoile,Calavi,19,Semaine,Pluie Légère,Bus,12.72,3.18,101.0,0.005
Akpakpa,Etoile,7,Semaine,Ensoleillé,Bus,2.12,3.92,16.6,0.005
Cadjehoun,Etoile,9,Semaine,Pluie Légère,Zem,4.18,2.48,22.2,0.04
Cadjehoun,Calavi,18,Semaine,Forte Pluie,Zem,11.27,3.06,118.3,0.16
Etoile,Fidjrosse,2,Semaine,Pluie Légère,Zem,7.91,1.37,23.2,0.04
Akpakpa,Zongo,23,Semaine,Forte Pluie,Voiture,3.38,1.35,12.1,0.02
Zongo,Akpakpa,4,Weekend,Ensoleillé,Zem,3.38,1.0,5.8,0.04
Calavi,Cadjehoun,2,Semaine,Ensoleillé,Zem,11.27,1.5,29.0,0.04
Calavi,Etoile,15,Semaine,Ensoleillé,Zem,12.72,1.44,31.3,0.04
Zongo,Cadjehoun,16,Semaine,Ensoleillé,Voiture,2.81,1.16,4.4,0.01
Cadjehoun,Akpakpa,14,Semaine,Pluie Légère,Zem,6.19,1.27,16.9,0.04
Akpakpa,Cadjehoun,2,Semaine,Ensoleillé,Zem,6.19,1.27,13.5,0.04
Cadjehoun,Akpakpa,11,Semaine,Ensoleillé,Voiture,6.19,1.38,11.4,0.01
Fidjrosse,Calavi,8,Weekend,Ensoleillé,Voiture,9.53,1.0,12.7,0.01
Cadjehoun,Fidjrosse,20,Weekend,Ensoleillé,Zem,3.92,1.0,6.7,0.04
Cadjehoun,Etoile,11,Weekend,Ensoleillé,Zem,4.18,1.0,7.2,0.04
Zongo,Akpakpa,14,Semaine,Pluie Légère,Voiture,3.38,1.25,7.0,0.01
Zongo,Cadjehoun,1,Semaine,Ensoleillé,Voiture,2.81,1.16,4.3,0.01
Zongo,Etoile,22,Weekend,Ensoleillé,Voiture,1.45,1.0,1.9,0.01
Calavi,Fidjrosse,17,Semaine,Pluie Légère,Bus,9.53,3.38,80.4,0.005
Fidjrosse,Calavi,19,Semaine,Pluie Légère,Voiture,9.53,3.73,59.3,0.01
Zongo,Etoile,11,Semaine,Ensoleillé,Voiture,1.45,1.57,3.0,0.01
Calavi,Fidjrosse,3,Semaine,Ensoleillé,Zem,9.53,1.59,25.9,0.04
Etoile,Cadjehoun,22,Weekend,Ensoleillé,Zem,4.18,1.0,7.2,0.04
Akpakpa,Fidjrosse,15,Semaine,Ensoleillé,Zem,10.0,1.49,25.6,0.04
Akpakpa,Fidjrosse,22,Semaine,Ensoleillé,Voiture,10.0,1.17,15.6,0.01
Etoile,Fidjrosse,0,Weekend,Ensoleillé,Voiture,7.91,1.0,10.5,0.01
Etoile,Fidjrosse,21,Semaine,Ensoleillé,Zem,7.91,1.53,20.7,0.04
Calavi,Etoile,1,Semaine,Pluie Légère,Zem,12.72,1.3,35.4,0.04
Etoile,Cadjehoun,2,Weekend,Ensoleillé,Bus,4.18,1.0,8.4,0.005
Fidjrosse,Etoile,20,Weekend,Ensoleillé,Zem,7.91,1.0,13.6,0.04
Zongo,Etoile,19,Semaine,Pluie Légère,Zem,1.45,3.51,10.9,0.04
Etoile,Akpakpa,16,Weekend,Ensoleillé,Zem,2.12,1.0,3.6,0.04
Calavi,Etoile,19,Semaine,Pluie Légère,Voiture,12.72,3.16,66.9,0.01
Fidjrosse,Zongo,21,Semaine,Ensoleillé,Zem,6.66,1.51,17.3,0.04
Cadjehoun,Zongo,20,Semaine,Pluie Légère,Voiture,2.81,1.31,6.1,0.01
Cadjehoun,Akpakpa,0,Semaine,Ensoleillé,Zem,6.19,1.13,12.0,0.04
Fidjrosse,Calavi,19,Weekend,Pluie Légère,Voiture,9.53,1.0,15.9,0.01
Calavi,Cadjehoun,5,Semaine,Ensoleillé,Zem,11.27,1.38,26.6,0.04
Fidjrosse,Cadjehoun,14,Semaine,Pluie Légère,Voiture,3.92,1.19,7.8,0.01
Zongo,Etoile,13,Semaine,Ensoleillé,Voiture,1.45,1.58,3.1,0.01
Zongo,Etoile,19,Semaine,Ensoleillé,Voiture,1.45,3.15,6.1,0.01
Cadjehoun,Calavi,14,Semaine,Ensoleillé,Voiture,11.27,1.38,20.7,0.01
Calavi,Cadjehoun,20,Semaine,Forte Pluie,Voiture,11.27,1.55,46.7,0.02
Cadjehoun,Fidjrosse,23,Weekend,Ensoleillé,Zem,3.92,1.0,6.7,0.04
Etoile,Zongo,4,Semaine,Ensoleillé,Voiture,1.45,1.41,2.7,0.01
Etoile,Fidjrosse,5,Semaine,Pluie Légère,Zem,7.91,1.25,21.2,0.04
Zongo,Fidjrosse,16,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Akpakpa,Cadjehoun,10,Semaine,Forte Pluie,Zem,6.19,1.25,26.5,0.16
Akpakpa,Fidjrosse,15,Semaine,Pluie Légère,Zem,10.0,1.35,28.9,0.04
Fidjrosse,Calavi,11,Weekend,Pluie Légère,Zem,9.53,1.0,20.4,0.04
Zongo,Akpakpa,14,Semaine,Ensoleillé,Voiture,3.38,1.53,6.9,0.01
Calavi,Akpakpa,3,Semaine,Pluie Légère,Zem,14.46,1.5,46.4,0.04
Akpakpa,Zongo,17,Semaine,Forte Pluie,Voiture,3.38,3.93,35.4,0.02
Akpakpa,Fidjrosse,2,Semaine,Ensoleillé,Voiture,10.0,1.14,15.1,0.01
Akpakpa,Zongo,21,Weekend,Ensoleillé,Voiture,3.38,1.0,4.5,0.01
Akpakpa,Etoile,7,Weekend,Ensoleillé,Bus,2.12,1.0,4.2,0.005
Zongo,Calavi,2,Semaine,Ensoleillé,Zem,12.45,1.23,26.3,0.04
Cadjehoun,Calavi,17,Semaine,Ensoleillé,Zem,11.27,2.34,45.3,0.04
Etoile,Fidjrosse,9,Semaine,Ensoleillé,Bus,7.91,3.55,56.2,0.005
